source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity
4930524225613187456,22.155066229172633,-47.904372028388906,40.009180146165036,0.04541962286268977,115.82777755136883,-187.521217346607,12.906946,14.314684,11.755677,16.487838544392897
6523442177391039360,354.06529161866865,-48.5836375173715,40.00918241654925,0.11707332870777751,-132.31794078656412,-23.201176850240607,10.998973,12.597145,9.81949,
3936753661871508096,198.85870406515312,16.24920057652639,40.01509991722628,0.048816428584610556,164.5211860657761,-681.7017404292981,12.9392185,14.321246,11.78781,
3649114960414008064,217.76730789022102,-3.121304109119161,40.015494998635994,0.08364660795175086,-332.86138187872575,12.721130047392561,13.326727,15.105947,12.042837,
4672963867324468608,55.745502316384574,-64.13597761963291,40.016690342973284,0.04879312384282268,642.4367246184796,-843.2877410804716,14.429506,16.287508,13.137935,
3758803507415614080,165.85627625468135,-9.853698591862821,40.017814576745856,0.11115606577299385,128.48716507393866,-187.0986677551082,12.563701,14.052653,11.379734,
1638426776706401920,261.26992229694343,69.5957572470048,40.02018885856297,0.06819369763890958,-107.37679999070966,224.04591903675956,14.411258,16.360931,13.089838,
5541659279700994944,123.81601095598784,-36.01372302301912,40.02020810889608,0.04584348930945529,-112.56739222820683,613.5258861635659,13.849855,15.605308,12.583446,
5344443383724940416,176.8410255469797,-54.41172517719628,40.0228404572595,0.25741902811179623,-158.58115315691649,-155.8944244538219,15.959789,18.582497,14.497498,
4932698441137787264,14.007784303901415,-48.446713116818636,40.0266831537639,0.04265427451059803,232.86306674663678,-50.94138400959867,12.840069,14.41651,11.627039,
4429874387730820608,237.51805122562266,6.27903608707012,40.030022109784156,0.11332496684360364,-399.9178617340617,-139.01684204112362,15.490737,17.903196,14.082181,
577355999582711040,136.2478017430039,2.4362129297459347,40.032318245645634,0.06076460597585267,-208.0150777538619,4.420488532295115,12.151666,13.42258,11.052423,
3348740650136554368,89.19961027939732,15.606453453742331,40.03245305172323,0.0634089488367003,66.382601091131,-88.58841999596261,13.147697,14.809774,11.909585,
6665143937443906816,290.6822552193152,-43.3231583903,40.03344901496693,0.0491888230935951,38.88671889975039,-168.45057559812471,11.840713,13.106685,10.754009,-1.4844573772660254
3574523576191075328,180.42040655119573,-12.23109035298912,40.03640916325196,0.21447456746454088,-56.82670029831252,-239.2682975996918,16.68471,19.186213,15.04476,
3369132536382082432,95.4604957070771,15.903203918710517,40.04640533635162,0.06812116564949273,49.08476918224132,-166.0023256550143,14.608529,16.497871,13.300682,
3316984005545134592,92.67878950674633,2.9965353038817377,40.047316381993035,0.06181957683287194,-93.02429208457635,-17.18251568118647,13.494957,15.251893,12.223385,
3788190605663811840,167.0270087142837,-5.231653214842885,40.05840383436194,0.05250890606731826,-54.871278475516064,-439.6782538405663,11.476416,12.824537,10.345797,
6126746594071444480,185.37035734771948,-50.068967150349394,40.061804004964976,0.06580868830685012,-110.44273072665358,32.285265811470424,13.1337385,14.796513,11.890162,
6004484268320338944,226.67011372785063,-42.5155332054505,40.06352726709363,0.08121869668545828,-511.25218238962725,-53.0977246639883,15.096069,17.267296,13.733177,
